stop_code,stop_name,stop_lat,stop_lon,zone_id
59549,Eastbound 6th Ave @ 18 St,49.202286,-122.940342,BUS ZN
59243,Westbound 112 Ave @ 136 St,49.206235,-122.845834,BUS ZN
58065,Northbound Seymour St @ W Georgia St,49.281477,-123.117549,BUS ZN
59825,Southbound 168 St @ 80 Ave,49.146242,-122.756697,BUS ZN
51008,Southbound Granville St @ W 45 Ave,49.230342,-123.139857,BUS ZN
58878,Southbound Noons Creek Dr @ Dogwood Place,49.291372,-122.824052,BUS ZN
59101,Southbound Heritage Mountain Blvd @ Ravine Dr,49.289083,-122.83355,BUS ZN
59573,Northbound 124 St @ 58A Ave,49.108911,-122.879043,BUS ZN
55509,Southbound 128 St @ 60 Ave,49.11234,-122.867983,BUS ZN
59571,Westbound 60 Ave @ 126 St,49.111851,-122.873913,BUS ZN
59572,Eastbound 60 Ave @ 126 St,49.111737,-122.872683,BUS ZN
59575,Southbound 124 St @ 59A Ave,49.110572,-122.879193,BUS ZN
59042,63 Ave Loop @ Granville St,49.21392,-123.140853,BUS ZN
59576,Northbound N Boundary Rd @ Eton St,49.287718,-123.023214,BUS ZN
58257,Eastbound 48 Ave @ Laidlaw St,49.090072,-123.085518,BUS ZN
52863,Westbound Cameron St @ Morrey Court,49.253498,-122.8967,BUS ZN
59590,Eastbound 58 Ave @ 176 St,49.107725,-122.734514,BUS ZN
59795,Westbound 58 Ave @ 176A St,49.107856,-122.733279,BUS ZN
51010,Westbound W 64 Ave @ Adera St,49.213261,-123.144003,BUS ZN
59591,Westbound 58 Ave @ 177B St,49.107855,-122.730925,BUS ZN
59493,Westbound Murray St @ Hugh St,49.278926,-122.848134,BUS ZN
59494,Eastbound Murray St @ Hugh St,49.278797,-122.847702,BUS ZN
58374,Northbound Sperling Ave @ Union St,49.278015,-122.964558,BUS ZN
59043,Eastbound Greenmount Ave @ Wellington St,49.284281,-122.760387,BUS ZN
59767,VCC-Clark Station @ Unloading Only,49.266014,-123.080036,BUS ZN
59616,Eastbound Mall Access Rd @ Meadowtown Centre,49.220613,-122.672576,BUS ZN
59605,Southbound 200 St @ 64 Ave,49.118495,-122.668744,BUS ZN
51011,Northbound Angus Dr @ W 64 Ave,49.21358,-123.148376,BUS ZN
59781,Westbound Beresford St @ Royal Oak Ave,49.219859,-122.98817,BUS ZN
51876,Westbound Hastings St @ Springer Ave,49.280441,-122.988354,BUS ZN
51875,Westbound Hastings St @ Howard Ave,49.28043,-122.984501,BUS ZN
59044,Southbound Tower Rd @ University High Street,49.277133,-122.909375,BUS ZN
59704,Eastbound Bridgeport Rd @ Great Canadian Way,49.191931,-123.123173,BUS ZN
51012,Northbound Angus Dr @ W 61 Ave,49.215648,-123.148305,BUS ZN
59697,Northbound 240 St @ 112 Ave,49.206124,-122.556596,BUS ZN
59695,Northbound 240 St @ 11500 Block,49.212037,-122.556692,BUS ZN
59698,Southbound 240 St @ Kanaka Way,49.205433,-122.556703,BUS ZN
59696,Southbound 240 St @ 11500 Block,49.211555,-122.556883,BUS ZN
59693,Northbound 240 St @ 118 Ave,49.21665,-122.55685,BUS ZN
51013,Northbound West Blvd @ W 60 Ave,49.217447,-123.14921,BUS ZN
59721,Westbound North Fraser Way @ Glenlyon Parkway West,49.200252,-123.010666,BUS ZN
53301,Eastbound Lougheed Hwy @ Douglas Rd,49.264976,-122.991151,BUS ZN
54784,Southbound Tidewater Way @ Kelvin Grove Way,49.452393,-123.237667,BUS ZN
59674,Northbound Antrim Ave @ Victory St,49.21882,-122.984964,BUS ZN
51014,Northbound West Blvd @ W 57 Ave,49.219817,-123.150612,BUS ZN
59675,Southbound Patterson Ave @ Imperial St,49.221627,-123.012703,BUS ZN
59677,Southbound Patterson Ave @ Victory St,49.218127,-123.012508,BUS ZN
59679,Southbound Patterson Ave @ Rumble St,49.214602,-123.012488,BUS ZN
59678,Northbound Patterson Ave @ Rumble St,49.215171,-123.0123,BUS ZN
59690,Northbound Gilley Ave @ Keith St,49.20769,-122.97389,BUS ZN
51015,Northbound West Blvd @ W 54 Ave,49.221951,-123.151884,BUS ZN
59689,Northbound Gilley Ave @ Brynlor Dr,49.209028,-122.972921,BUS ZN
59688,Northbound Gilley Ave @ Ewart St,49.210454,-122.972279,BUS ZN
59682,Eastbound Rumble St @ Sussex Ave,49.214778,-123.004608,BUS ZN
59683,Westbound Rumble St @ Gray Ave,49.214862,-122.999848,BUS ZN
59685,Westbound Rumble St @ Nelson Ave,49.214888,-122.994317,BUS ZN
59680,Westbound Rumble St @ McKay Ave,49.214873,-123.009187,BUS ZN
59673,Westbound Rumble St @ Royal Oak Ave,49.214922,-122.989193,BUS ZN
60790,Eastbound 64 Ave @ 176 St,49.118681,-122.734154,BUS ZN
51016,Northbound West Blvd @ W 51 Ave,49.224765,-123.15354,BUS ZN
60401,Eastbound 64 Ave @ 172 St,49.118733,-122.74546,BUS ZN
60752,Eastbound 64 Ave @ 184 St,49.11868,-122.711957,BUS ZN
60753,Eastbound 64 Ave @ 186 St,49.118783,-122.706555,BUS ZN
60797,Eastbound 64 Ave @ 188 St,49.118908,-122.700371,BUS ZN
60798,Eastbound 64 Ave @ 190 St,49.118979,-122.695869,BUS ZN
59599,Southbound 200 St @ 86 Ave,49.158596,-122.668182,BUS ZN
60799,Westbound 64 Ave @ 190 St,49.119112,-122.697661,BUS ZN
60772,Westbound 64 Ave @ 188 St,49.119036,-122.702518,BUS ZN
60773,Westbound 64 Ave @ 186 St,49.118909,-122.708121,BUS ZN
51017,Northbound Arbutus St @ W 51 Ave,49.225393,-123.155125,BUS ZN
60789,Westbound 64 Ave @ 184 St,49.118828,-122.712983,BUS ZN
59894,Westbound 64 Ave @ 172 St,49.11894,-122.746743,BUS ZN
58061,Southbound Cessna Dr @ Miller Rd,49.191485,-123.141798,BUS ZN
59631,Northbound Harris Rd @ Civic Centre,49.221141,-122.689447,BUS ZN
59629,Westbound Ford Rd @ 190A St,49.222496,-122.694363,BUS ZN
59628,Westbound Ford Rd @ 189B St,49.222501,-122.696219,BUS ZN
59627,Northbound 189A St @ Ford Rd,49.222731,-122.697676,BUS ZN
51018,Northbound West Blvd @ W 49 Ave,49.227498,-123.155196,BUS ZN
59624,Eastbound 122 Ave @ 189A St,49.22429,-122.697301,BUS ZN
